"","x"
"MXRA8",1.05875064876382
"SLC2A5",-1.43822516027433
"GPR157",-1.1073893085811
"SPSB1",1.41825932979531
"RBP7",-2.11997651929137
"CASZ1",-1.77290514524211
"NPPA",-2.15408227880223
"HSPB7",-1.50471381132885
"EPHB2",1.38772190170103
"ZNF436-AS1",-2.11326163311829
"TCEA3",-1.48531375617383
"ID3",-2.22827482026388
"RCAN3",1.05430119669192
"TRIM63",-2.16988796898539
"SH3BGRL3",1.15528299821373
"TRNP1",-1.08971159979212
"FABP3",-2.19990063646969
"COL16A1",1.09118159279742
"FNDC5",1.27335142295662
"SFPQ",1.0243861855456
"COL8A2",2.44365382534928
"RSPO1",1.93378144091507
"HPCAL4",2.68110284885269
"RIMKLA",-1.60861072149405
"SLC2A1",1.02965657059999
"TRABD2B",-1.03500455412824
"TTC39A",-1.28638263054348
"RAB3B",-1.17125158113423
"PLPP3",1.59484305279398
"PRKAA2",-1.7015130995692
"FYB2",1.67608384274638
"DAB1",-1.01744009780979
"DNAJC6",-1.44792873637297
"LEPR",-1.84468851848693
"SGIP1",-1.78728598558762
"GADD45A",-1.07388379719611
"ST6GALNAC3",1.89986477383053
"ST6GALNAC5",2.08674144726327
"CCN1",1.14800693807017
"GBP1",2.7592988833156
"TGFBR3",1.39521072592901
"F3",2.36897004230835
"PALMD",1.65928281889923
"VCAM1",-2.89619040119749
"COL11A1",2.02315452700951
"PROK1",1.06840687474708
"PPM1J",-1.42541853909341
"OLFML3",2.11864348098006
"VTCN1",2.33347340188717
"HMGCS2",-2.22891295869185
"S100A11",1.53620307638802
"SPRR2F",1.03355925100369
"S100A6",1.52997862833947
"S100A14",-2.13136960456814
"S100A1",-1.87690313181456
"IL6R",1.24647928370189
"CRABP2",1.10204908808956
"PEAR1",1.03458421482607
"TAGLN2",1.15687730521182
"ATP1A2",-2.47943503150109
"APOA2",-1.2280130508776
"DDR2",2.17055138063491
"RGS4",2.95528436969866
"RXRG",-1.83735936168409
"ILDR2",-1.64224163345135
"STYXL2",-2.12173922821603
"CREG1",-1.07116399353058
"RCSD1",-2.49330856749786
"PRRX1",1.56245461437903
"FMO1",2.28185940400483
"DNM3OS",2.6019789442523
"LOC105371634",5.05931864218762
"NMNAT2",2.68208652910943
"COLGALT2",-1.62110397893074
"LHX9",1.31042228225741
"TNNT2",-1.10275253709355
"ELF3",1.59617953547661
"PPP1R12B",-1.2041251110916
"PPFIA4",-1.4464444757212
"REN",2.55206455368142
"RASSF5",-2.45632840959453
"G0S2",-1.48192479066721
"ATF3",1.86352459541213
"PROX1",-1.87957827028572
