"","x"
"TNFRSF9",-1.19139846191075
"GPR157",1.32789108081385
"SPSB1",-1.25726327587681
"RBP7",1.81728597166084
"CASZ1",2.12717621534119
"NPPA",1.15833075933636
"RNU5E-1",1.19369714360469
"PDPN",-2.20516421888009
"HSPB7",1.46739232125316
"ALPL",1.41922682754857
"EPHB2",-2.44637671224034
"ZNF436-AS1",1.39847816778543
"TCEA3",1.5214820432691
"ID3",2.29407148491589
"TRIM63",2.00942033780835
"SH3BGRL3",-1.12801360516329
"LIN28A",1.62241130081713
"PTPRU",-1.02668110202191
"FABP3",1.99507256599612
"TINAGL1",-2.18117219685771
"COL16A1",-2.75671007420007
"TMEM54",-1.13234306975708
"GJA4",1.57814160005897
"COL8A2",-3.5230854835283
"RSPO1",-2.23821141673645
"CDCA8",1.40551481264175
"POU3F1",-1.93316825035409
"HPCAL4",-4.47806519907311
"MYCL",2.20801808056691
"ZMPSTE24",-1.02331365318242
"CITED4",1.1334567556777
"RIMKLA",1.4560362734099
"SLC2A1",-1.25273398768707
"TIE1",1.17811464339305
"CDC20",1.3619030313553
"KIF2C",1.39072489673072
"PTCH2",1.64617033954078
"PRDX1",1.57030278895828
"CYP4X1",1.37937092409341
"TRABD2B",1.43137007549255
"PLPP3",-1.86154610945551
"FYB2",-1.55648316992753
"DAB1",1.51973746891588
"TACSTD2",-1.12422793697249
"DNAJC6",1.65333545458982
"LEPR",1.71235598047848
"SGIP1",2.32015879139935
"DEPDC1",1.36701828441881
"LHX8",1.82284641584167
"ST6GALNAC3",-1.6749044191581
"ST6GALNAC5",-1.48276303535979
"HS2ST1",1.01367840214516
"GBP1",-3.23980187459385
"TGFBR3",-1.04399194665389
"ARHGAP29",-1.47485876058864
"F3",-3.06054954647009
"PTBP2",1.35152634944818
"PALMD",-2.11951807532491
"VCAM1",3.08672452478916
"COL11A1",-3.24269094814978
"CSF1",-1.83859213597458
"ALX3",-1.69599890178667
"WNT2B",-2.24549514561352
"OLFML3",-1.91000207680448
"TSPAN2",1.2823384970965
"VTCN1",-4.68718405774897
"HMGCS2",3.51487450353916
"PDZK1",2.11123376542205
"RNVU1-6",2.15117439135266
"PRKAB2",1.00088017309012
"FMO5",1.31974296935493
"LOC653513",1.2574442987586
"CA14",1.74590449992297
"ECM1",-2.3001199670636
"PI4KB",-1.10994479578054
"S100A11",-1.23757745748811
"S100A6",-2.45700111333866
"S100A14",2.93272329603241
"IL6R",-1.89320563600166
"CRABP2",-1.15093877688708
"PEAR1",-1.6165414751753
"IFI16",1.77324826605375
"ATP1A2",2.15676419738224
"APOA2",2.09670835735202
"DDR2",-1.44328052536135
"RGS4",-2.7200245931256
"NUF2",1.97271209371476
"RXRG",1.52597202595799
"ILDR2",2.08495109407733
"STYXL2",2.02404747574719
"RCSD1",2.16927146833926
"PRRX1",-2.15172383498254
"FMO1",-1.8400057933383
"DNM3OS",-3.25022352581631
"TOR3A",-1.35704223246155
"LOC105371634",-4.54461510274466
"TOR1AIP2",-1.02952374558112
"NMNAT2",-3.1186218454236
"COLGALT2",2.42861901474827
"C1orf21",1.03629622547831
"ASPM",1.85011999108952
"LHX9",-1.84429531338148
"KIF14",2.03339235082573
"KIF21B",-1.14565106365526
"TNNT2",1.06055142589078
"CSRP1",-2.62115178488066
"NAV1",-1.0831975325335
"ELF3",-1.26366234805951
"UBE2T",1.0609234617105
"PPP1R12B",1.53653595916477
"BTG2",1.21826114131807
"SOX13",1.09934427850225
"REN",-2.71361181398224
"DSTYK",-1.23144524931333
"RASSF5",2.49757547005371
"G0S2",1.36217845129587
"SERTAD4-AS1",-1.11016320771
"SERTAD4",-1.21674496094887
"NEK2",1.73864483470302
"ATF3",-1.92930440057973
"BATF3",-2.61408601508971
"PROX1",3.03893905344179
"CENPF",1.81812428939629
"ESRRG",2.88909096326906
"DUSP10",-1.27860960884732
"CAPN2",-1.22037548909219
"ITPKB",-1.47023762642804
"ACTA1",1.78918123064571
"AGT",1.13397305881263
"ACTN2",2.10461985532174
"RYR2",1.67781737381138
"GREM2",-1.59397308008962
"PLD5",-3.22197434529816
"ID2",1.38432672643065
"TRIB2",1.32039500179686
"KCNS3",1.22701090521508
"OSR1",-1.71434186663713
"GDF7",-3.24708377431735
"APOB",2.05323769941326
"CENPA",2.00023744452808
"EMILIN1",-1.56540753846513
"SLC30A3",1.92336697861837
"TRIM54",1.55658100536793
"FOSL2",-1.03663980456831
"EHD3",1.22704724583368
"SLC8A1",2.95966979164545
"EPAS1",-3.12762254190412
"EPCAM",1.13670642546381
"STON1",-1.03799411635031
"NRXN1",2.67751902629842
"SLC1A4",1.41727876033767
"PAIP2B",1.85780633745848
"DYSF",1.08628421188183
"RAB11FIP5",-1.59484486033185
"ACTG2",-1.8827843436306
"LRRTM4",-1.13691036705792
"LRRTM1",3.42827940150871
"CAPG",-2.39653277104517
"SMYD1",2.32746335130967
"FABP1",1.90743947817394
"ADRA2B",2.40429294839535
"LONRF2",-2.9197965483225
"IL1R1",-1.66786599149128
"ST6GAL2",-1.28100925169697
"BUB1",1.78904880507958
"MIR4435-2HG",-1.15865826674507
"TMEM87B",-1.14857937710694
"FBLN7",2.09591979507279
"ZC3H6",1.28643637514463
"CKAP2L",1.36914477787969
"TFCP2L1",1.56523254344826
"FAR2P2",1.75541408743525
"CFC1",1.62106180791766
"LYPD1",-2.63621725349409
"KIF5C",2.02318318429847
"GALNT13",-1.14025747350818
"DPP4",-1.01947671708297
"FIGN",1.42144364509884
"GRB14",1.60693190465293
"B3GALT1",2.06935957566457
"KLHL41",2.58318702323514
"PDK1",1.97531412252713
"MAP3K20",1.50884824961716
"GPR155",-2.65668470668088
"CHN1",-2.42508734956248
"HOXD8",-1.20208501166403
"LINC01116",-3.84075421427759
"TTN",2.12381634297296
"CCDC141",2.80856613020235
"ZNF385B",2.48852259113042
"FRZB",-2.61631265793486
"COL3A1",-2.73195434217261
"COL5A2",-1.47862045116836
"SLC40A1",-1.28934968148682
"NAB1",1.52826463381211
"SGO2",1.27824191076473
"FZD7",1.1582643253961
"FZD5",1.10736297695606
"CRYGD",-3.256238041784
"IDH1",-1.09347720944106
"TNS1",-1.28104075974962
"VIL1",1.70458514925871
"IHH",1.08416526835178
"DES",-1.95711711600295
"CHPF",-1.01416650070743
"EPHA4",-2.96717872590948
"LOC122319436",2.12148834593022
"CT75",2.3610964739375
"SGPP2",3.36852628257905
"KCNE4",-3.58514766990844
"HJURP",2.0167065541163
