"","x"
"PDPN",-1.07827734127932
"LIN28A",1.36986086226065
"COL16A1",-1.16855271219439
"TMEM54",-1.42836173117303
"PTCH2",1.22854205342085
"GCLM",-1.82891155943212
"WNT2B",-1.93489164510728
"S100A1",-2.50721032124666
"IFI16",1.11082901642805
"NUF2",1.08654107695834
"KIF14",1.14470004559656
"CSRP1",-1.54835449564515
"NRXN1",1.3328472021028
"B3GNT2",1.05730994269884
"LRP2",-1.02690421675419
"LOC105373880",-1.26665073618885
"ABCB6",-1.63242470810664
"TUBA4A",-1.85262922394886
"DES",-1.04226087170236
"ARL4C",1.11014871719971
"H1-10",1.24576819722475
"ACP3",2.27084640558488
"CLDN11",-1.6183360893826
"MELTF",-1.64780960767949
"NSG1",-1.45221677755173
"SPP1",-3.43999760445975
"CENPE",1.13872669054718
"CFI",-1.34909239013428
"SYNPO2",-1.11881011316332
"SFRP2",-2.36260707733463
"APELA",1.89880253651972
"HMGCS1",1.07059387187214
"LOC101928419",1.10235148548648
"CRHBP",1.3261870884048
"NR2F1",1.69975645011026
"EGR1",2.32684657145907
"HBEGF",-1.19921184693075
"PTTG1",1.08313593109546
"HMMR",1.12816112442108
"GABRP",-2.48858575243134
"MXD3",1.0110215284515
"SQSTM1",-1.42347314814815
"CDKN1A",-2.61200465829576
"RIMS1",-1.66933927044164
"ME1",-1.45403606402616
"LOC107986620",-1.5757817216917
"SNORD50A",2.75954274824055
"EPHA7",1.04101086074994
"SIM1",-2.55777621536316
"CENPW",1.24063635874085
"SMLR1",1.00716416470369
"AKR1B10",-1.37985348502716
"FAM131B",-1.38231470695765
"STC1",-1.00272970676977
"SNORD13",2.8886363956361
"RDH10",-1.05337683225108
"CA3",-1.10079938808475
"DPYS",1.4003368709932
"FREM1",1.21528891181343
"BNC2",-1.09988585186234
"CTSV",1.18080569975621
"PTGS1",-3.8159535285885
"ABO",1.39650234609022
"AKR1C1",-1.64619010761879
"AKR1C2",-3.89275965946214
"LOC105378308",1.09641019579853
"HHEX",3.24071996379124
"NEAT1",-1.31261018550347
"CTSF",-1.23841531865882
"APOA4",-2.45474134201267
"ADAMTS8",1.36880877000154
"IGFBP6",-1.08360648611414
"DUSP6",1.36748679424321
"TXNRD1",-1.40150396763626
"CKAP2",1.02007331938204
"PCDH20",1.12327000499988
"POU4F1",1.00630551562026
"GNG2",1.09566088153722
"DLGAP5",1.07312146307575
"FOS",3.32331429047146
"CYP1A1",-3.84340993316901
"HAPLN3",-1.04513424380125
"KREMEN2",-1.72678787143953
"PLK1",1.0033895682007
"MT1E",-2.21862020108208
"MT1G",-3.66154941418486
"MT1X",-4.15658420818031
"NQO1",-3.91040556640966
"BIRC5",1.23811192397901
"LDLR",1.19233704044917
"FAM32A",1.17430659517423
"SNAR-C4",2.64551697791234
"SNAR-C3",2.14978888016751
"FTL",-1.56075931955515
"SRXN1",-1.21646337527176
"FLRT3",1.08586766894419
"LINC00261",1.29991884214621
"FOXA2",1.67079313581648
"UBE2C",1.22393270908466
"GGT5",1.20873451505816
"MIAT",-1.3040638254307
"MN1",-1.00975288320769
"PIR",-1.39519366608499
"HMGN5",1.20003208303865
"BEX1",1.0611904948503
"DUSP9",1.05367054757836
"RNR1",1.0179199995085
"TRNM",2.36214242060004
"ND2",1.0671442827662
"TRNY",2.73162082990264
"ATP8",1.664010349434
"TRNH",4.13102637188278
"TRNS2",5.0320471177537
"ND5",1.17601631008383
"TRNT",1.63573371731599
"TRNP",1.51448430244003
